Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1739660,"Das Zeichen des Dunklen Gottes (Ulldart - Die Dunkle Zeit, #3)",Markus Heitz,"Heitz, Markus",,"=""3492285309""","=""9783492285308""",3,4.00,Piper Taschenbuch,Paperback,528,2004,2002,2018/01/01,2018/07/08,,,read,,,,1,0
661360,"Unter den Augen Tzulans (Ulldart - Die Dunkle Zeit, #4)",Markus Heitz,"Heitz, Markus",,"=""3453861612""","=""9783453861619""",3,4.04,Piper Taschenbuch,Paperback,512,2005,2005,2018/01/01,2018/07/08,,,read,,,,1,0
938544,"Toll the Hounds (Malazan Book of the Fallen, #8)",Steven Erikson,"Erikson, Steven",,"=""0765310082""","=""9780765310088""",5,4.37,Tor Books,Hardcover,1008,2008,2008,2017/01/01,2018/07/08,,,read,,,,2,0
4703427,"Dust of Dreams (Malazan Book of the Fallen, #9)",Steven Erikson,"Erikson, Steven",,"=""0765316552""","=""9780765316554""",5,4.30,Tom Doherty Associates,Mass Market Paperback,1280,2009,2009,2017/01/01,2018/07/08,,,read,,,,2,0
8447255,"The Crippled God (Malazan Book of the Fallen, #10)",Steven Erikson,"Erikson, Steven",,"=""0593046358""","=""9780593046357""",5,4.51,Bantam,Hardcover,921,2011,2011,2018/01/01,2018/07/08,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2016/01/01,2018/07/08,,,read,,,,2,0
1215032,"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5,4.55,DAW Books,Hardcover,994,2011,2011,2016/01/01,2018/07/08,,,read,,,,1,0
19103097,"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,"=""1101633530""","=""9781101633533""",3,4.14,Plume,Kindle Edition,402,2014,2014,2016/01/01,2018/07/08,,,read,,,,1,0
6101718,"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,"=""0670020559""","=""9780670020553""",4,3.53,Viking,Hardcover,402,2009,2009,2016/01/01,2018/07/08,,,read,,,,1,0
10079321,"The Magician King (The Magicians, #2)",Lev Grossman,"Grossman, Lev",,"=""043402080X""","=""9780434020805""",4,3.92,William Heinemann,Paperback,548,2011,2011,2016/01/01,2018/07/08,,,read,,,,1,0
